plot_name;treatment;natives;non_natives;number_focal_sp;cover_focal_sp;forbs;graminoids;legumes;bare_ground;non_focal_inv1;non_focal_inv2;background_management;site_type;year;species;site_name;datum;municipality;longitude;latitude;northing;easting;elevation;plotID
R3;removal;8;4;6;4;5;8;5;0;0;NA;no;roadside;2022;solidago;S 2.3;26.05.2022 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_R3
C3;control;8;4;9;4;5;7;3;2;0;NA;no;roadside;2022;solidago;S 2.3;26.05.2022 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_C3
R4;removal;8;5;10;5;5;6;6;0;2;NA;no;roadside;2022;solidago;S 2.3;26.05.2022 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_R4
C4;control;7;7;39;7;6;4;5;1;2;NA;no;roadside;2022;solidago;S 2.3;26.05.2022 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_C4
R1;removal;8;5;4;1;5;7;2;4;1;5;no;roadside_riverside;2022;solidago;S 1.3;25.05.2022 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_R1
C1;control;8;4;11;4;3;8;3;3;0;0;no;roadside_riverside;2022;solidago;S 1.3;25.05.2022 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_C1
R2;removal;8;2;2;1;6;5;6;5;1;0;no;roadside_riverside;2022;solidago;S 1.3;25.05.2022 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_R2
C2;control;8;4;12;4;7;7;3;2;2;0;no;roadside_riverside;2022;solidago;S 1.3;25.05.2022 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_C2
R3;removal;8;2;3;2;7;7;3;2;0;0;no;roadside_riverside;2022;solidago;S 1.3;25.05.2022 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_R3
C3;control;8;4;16;4;7;6;5;3;0;0;no;roadside_riverside;2022;solidago;S 1.3;25.05.2022 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_C3
R4;removal;8;4;19;4;6;7;6;3;0;0;no;roadside_riverside;2022;solidago;S 1.3;25.05.2022 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_R4
C4;control;8;6;44;6;6;6;3;1;0;0;no;roadside_riverside;2022;solidago;S 1.3;25.05.2022 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_C4
R5;removal;8;2;3;2;5;8;4;3;1;0;no;roadside_riverside;2022;solidago;S 1.3;25.05.2022 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_R5
C5;control;8;5;32;5;4;8;2;1;0;0;no;roadside_riverside;2022;solidago;S 1.3;25.05.2022 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_C5
R1;removal;7;0;0;0;6;5;3;6;0;NA;no;roadside_parking;2022;solidago;S 3.1;30.05.2022 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_R1
C1;control;8;6;19;6;7;5;3;3;0;NA;no;roadside_parking;2022;solidago;S 3.1;30.05.2022 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_C1
R2;removal;8;2;1;2;6;6;3;5;0;NA;no;roadside_parking;2022;solidago;S 3.1;30.05.2022 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_R2
C2;control;6;6;31;6;6;3;0;5;0;NA;no;roadside_parking;2022;solidago;S 3.1;30.05.2022 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_C2
R3;removal;8;0;0;0;8;6;2;3;0;NA;no;roadside_parking;2022;solidago;S 3.1;30.05.2022 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_R3
C3;control;6;6;39;6;6;4;0;6;1;NA;no;roadside_parking;2022;solidago;S 3.1;30.05.2022 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_C3
R4;removal;7;2;7;2;7;2;0;6;1;NA;no;roadside_parking;2022;solidago;S 3.1;30.05.2022 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_R4
C4;control;8;3;6;3;8;6;0;1;0;NA;no;roadside_parking;2022;solidago;S 3.1;30.05.2022 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_C4
R1;removal;8;3;4;2;6;6;3;4;2;NA;no;gravelpit;2022;solidago;S 4.1;27.05.2022 00:00;Scharans;9.467283;46.714629;2755003.094;1175574.253;820.762207;S 4.1_R1
C1;control;8;5;55;5;5;7;3;3;0;NA;no;gravelpit;2022;solidago;S 4.1;27.05.2022 00:00;Scharans;9.467283;46.714629;2755003.094;1175574.253;820.762207;S 4.1_C1
R2;removal;7;2;4;2;5;6;4;6;2;NA;no;gravelpit;2022;solidago;S 4.1;27.05.2022 00:00;Scharans;9.467283;46.714629;2755003.094;1175574.253;820.762207;S 4.1_R2
C2;control;6;5;19;5;5;2;5;6;2;NA;no;gravelpit;2022;solidago;S 4.1;27.05.2022 00:00;Scharans;9.467283;46.714629;2755003.094;1175574.253;820.762207;S 4.1_C2
R3;removal;6;3;7;3;5;4;0;7;2;NA;no;gravelpit;2022;solidago;S 4.1;27.05.2022 00:00;Scharans;9.467283;46.714629;2755003.094;1175574.253;820.762207;S 4.1_R3
C3;control;6;6;46;6;6;3;3;5;0;NA;no;gravelpit;2022;solidago;S 4.1;27.05.2022 00:00;Scharans;9.467283;46.714629;2755003.094;1175574.253;820.762207;S 4.1_C3
R1;removal;8;3;3;2;3;2;8;5;2;NA;no;gravelpit;2022;solidago;S 3.2;01.06.2022 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_R1
C1;control;8;6;52;6;3;2;8;2;2;NA;no;gravelpit;2022;solidago;S 3.2;01.06.2022 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_C1
R2;removal;8;3;7;3;3;5;8;0;2;NA;no;gravelpit;2022;solidago;S 3.2;01.06.2022 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_R2
C2;control;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;gravelpit;2022;solidago;S 3.2;01.06.2022 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_C2
R3;removal;8;5;23;5;5;2;8;0;2;NA;no;gravelpit;2022;solidago;S 3.2;01.06.2022 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_R3
C3;control;8;5;19;5;4;5;7;1;1;NA;no;gravelpit;2022;solidago;S 3.2;01.06.2022 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_C3
R4;removal;8;3;10;3;2;6;7;1;2;NA;no;gravelpit;2022;solidago;S 3.2;01.06.2022 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_R4
C4;control;8;5;22;5;3;4;8;1;0;NA;no;gravelpit;2022;solidago;S 3.2;01.06.2022 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_C4
R5;removal;8;6;26;6;4;3;8;0;2;NA;no;gravelpit;2022;solidago;S 3.2;01.06.2022 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_R5
C5;control;8;6;40;6;5;2;7;2;1;NA;no;gravelpit;2022;solidago;S 3.2;01.06.2022 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_C5
R1;removal;6;0;0;0;6;2;0;7;NA;NA;no;roadside_railway_gravelpit;2022;solidago;S 3.3;30.05.2022 00:00;Ilanz;9.1723624;46.775492;2732313.032;1181797.147;705.1589355;S 3.3_R1
C1;control;7;5;11;5;7;6;0;3;NA;NA;no;roadside_railway_gravelpit;2022;solidago;S 3.3;30.05.2022 00:00;Ilanz;9.1723624;46.775492;2732313.032;1181797.147;705.1589355;S 3.3_C1
R2;removal;8;0;0;0;6;6;3;4;NA;NA;no;roadside_railway_gravelpit;2022;solidago;S 3.3;30.05.2022 00:00;Ilanz;9.1723624;46.775492;2732313.032;1181797.147;705.1589355;S 3.3_R2
C2;control;8;4;8;4;8;5;2;2;NA;NA;no;roadside_railway_gravelpit;2022;solidago;S 3.3;30.05.2022 00:00;Ilanz;9.1723624;46.775492;2732313.032;1181797.147;705.1589355;S 3.3_C2
R1;removal;8;1;1;1;8;3;0;1;NA;NA;no;gravelpit;2022;solidago;S 4.2;01.06.2022 00:00;Trun;9.0024777;46.742227;2719416.345;1177827.705;866.6534424;S 4.2_R1
C1;control;7;5;14;5;6;5;3;3;NA;NA;no;gravelpit;2022;solidago;S 4.2;01.06.2022 00:00;Trun;9.0024777;46.742227;2719416.345;1177827.705;866.6534424;S 4.2_C1
R2;removal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;gravelpit;2022;solidago;S 4.2;01.06.2022 00:00;Trun;9.0024777;46.742227;2719416.345;1177827.705;866.6534424;S 4.2_R2
C2;control;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;gravelpit;2022;solidago;S 4.2;01.06.2022 00:00;Trun;9.0024777;46.742227;2719416.345;1177827.705;866.6534424;S 4.2_C2
R1;removal;8;1;1;1;7;6;0;5;NA;NA;no;riverside;2022;solidago;S 4.3;01.06.2022 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_R1
C1;control;8;6;41;6;7;5;2;2;NA;NA;no;riverside;2022;solidago;S 4.3;01.06.2022 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_C1
R2;removal;8;2;2;2;8;1;2;3;NA;NA;no;riverside;2022;solidago;S 4.3;01.06.2022 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_R2
C2;control;8;5;8;5;7;5;3;2;NA;NA;no;riverside;2022;solidago;S 4.3;01.06.2022 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_C2
R3;removal;8;3;5;3;8;2;2;3;NA;NA;no;riverside;2022;solidago;S 4.3;01.06.2022 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_R3
C3;control;8;5;35;5;8;2;2;1;NA;NA;no;riverside;2022;solidago;S 4.3;01.06.2022 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_C3
R4;removal;8;0;0;0;8;3;2;4;NA;NA;no;riverside;2022;solidago;S 4.3;01.06.2022 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_R4
C4;control;8;6;34;6;8;2;1;1;NA;NA;no;riverside;2022;solidago;S 4.3;01.06.2022 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_C4
R5;removal;8;0;0;0;8;2;0;0;NA;NA;no;riverside;2022;solidago;S 4.3;01.06.2022 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_R5
C5;control;7;7;37;7;7;2;0;3;NA;NA;no;riverside;2022;solidago;S 4.3;01.06.2022 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_C5
R1;removal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;wastedump;2022;solidago;S 5.1;31.05.2022 00:00;Flims;9.3079152;46.834333;2742505.965;1188573.444;981.8417969;S 5.1_R1
C1;control;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;wastedump;2022;solidago;S 5.1;31.05.2022 00:00;Flims;9.3079152;46.834333;2742505.965;1188573.444;981.8417969;S 5.1_C1
R1;removal;8;2;0;0;8;5;0;0;2;NA;yes;riverside;2022;solidago;S 5.2;07.06.2022 00:00;Surrein;8.9568623;46.724027;2715970.59;1175736.622;901.1761475;S 5.2_R1
C1;control;7;7;49;7;7;3;0;0;0;NA;no;riverside;2022;solidago;S 5.2;07.06.2022 00:00;Surrein;8.9568623;46.724027;2715970.59;1175736.622;901.1761475;S 5.2_C1
R2;removal;8;2;2;2;8;5;0;1;0;NA;yes;riverside;2022;solidago;S 5.2;07.06.2022 00:00;Surrein;8.9568623;46.724027;2715970.59;1175736.622;901.1761475;S 5.2_R2
C2;control;8;5;15;5;8;0;0;2;0;NA;no;riverside;2022;solidago;S 5.2;07.06.2022 00:00;Surrein;8.9568623;46.724027;2715970.59;1175736.622;901.1761475;S 5.2_C2
R1;removal;8;0;0;0;6;7;5;1;NA;NA;yes;forest_road;2022;solidago;S 5.3;07.06.2022 00:00;Surrein;8.9545499;46.722623;2715796.883;1175577.174;912.3480835;S 5.3_R1
C1;control;8;7;37;7;8;2;5;0;NA;NA;no;forest_road;2022;solidago;S 5.3;07.06.2022 00:00;Surrein;8.9545499;46.722623;2715796.883;1175577.174;912.3480835;S 5.3_C1
R1;removal;8;1;0;0;7;4;4;3;1;NA;no;roadside_wastedump;2022;solidago;S 8.1;09.06.2022 00:00;Medels;8.8547708;46.675341;2708265.956;1170179.958;1249.908936;S 8.1_R1
C1;control;8;5;15;5;4;8;2;1;0;NA;no;roadside_wastedump;2022;solidago;S 8.1;09.06.2022 00:00;Medels;8.8547708;46.675341;2708265.956;1170179.958;1249.908936;S 8.1_C1
R1;removal;8;1;1;1;6;7;0;5;NA;NA;no;roadside;2022;solidago;S 10.1;31.05.2022 00:00;Fidaz;9.31644;46.849216;2743116.469;1190242.826;1348.98291;S 10.1_R1
R1;removal;7;2;4;2;6;5;3;5;1;NA;no;wastedump;2022;solidago;S 6.1;08.06.2022 00:00;Disentis;8.8672792;46.705504;2709161.733;1173549.472;1018.146301;S 6.1_R1
C1;control;7;8;108;8;6;4;3;2;0;NA;no;wastedump;2022;solidago;S 6.1;08.06.2022 00:00;Disentis;8.8672792;46.705504;2709161.733;1173549.472;1018.146301;S 6.1_C1
R2;removal;8;0;0;0;7;5;0;4;0;NA;no;wastedump;2022;solidago;S 6.1;08.06.2022 00:00;Disentis;8.8672792;46.705504;2709161.733;1173549.472;1018.146301;S 6.1_R2
R1;removal;8;3;8;3;4;8;2;4;NA;NA;no;riverside;2022;solidago;S 8.2;08.06.2022 00:00;Disentis;8.8362759;46.695313;2706811.65;1172374.19;1271.446533;S 8.2_R1
R1;removal;8;0;0;0;5;5;6;4;NA;NA;no;roadside_gravelpit;2022;solidago;S 7.1;10.06.2022 00:00;Andeer;9.4262781;46.579112;2752250.865;1160435.733;1225.389648;S 7.1_R1
C1;control;4;5;10;5;3;2;2;8;NA;NA;no;roadside_gravelpit;2022;solidago;S 7.1;10.06.2022 00:00;Andeer;9.4262781;46.579112;2752250.865;1160435.733;1225.389648;S 7.1_C1
R2;removal;8;2;1;2;6;3;7;4;NA;NA;no;roadside_gravelpit;2022;solidago;S 7.1;10.06.2022 00:00;Andeer;9.4262781;46.579112;2752250.865;1160435.733;1225.389648;S 7.1_R2
C2;control;8;3;3;3;6;5;6;2;NA;NA;no;roadside_gravelpit;2022;solidago;S 7.1;10.06.2022 00:00;Andeer;9.4262781;46.579112;2752250.865;1160435.733;1225.389648;S 7.1_C2
R1;removal;7;1;1;1;6;5;0;6;0;NA;no;Gravelpit;2022;solidago;S 6.2;10.06.2022 00:00;Andeer;9.4267227;46.590665;2752252.388;1161720.328;1070.165771;S 6.2_R1
C1;control;8;4;9;4;5;7;0;5;0;NA;no;Gravelpit;2022;solidago;S 6.2;10.06.2022 00:00;Andeer;9.4267227;46.590665;2752252.388;1161720.328;1070.165771;S 6.2_C1
R2;removal;8;2;0;0;6;6;0;4;2;NA;no;Gravelpit;2022;solidago;S 6.2;10.06.2022 00:00;Andeer;9.4267227;46.590665;2752252.388;1161720.328;1070.165771;S 6.2_R2
R1;removal;8;3;5;3;7;5;0;4;1;NA;no;riverside;2022;solidago;S 7.2;10.06.2022 00:00;Klosters;9.9234081;46.85906;2789351.513;1192623.413;1265.037598;S 7.2_R1
C1;control;6;4;18;4;5;5;2;6;2;NA;no;riverside;2022;solidago;S 7.2;10.06.2022 00:00;Klosters;9.9234081;46.85906;2789351.513;1192623.413;1265.037598;S 7.2_C1
R1;removal;5;1;1;1;5;2;0;8;NA;NA;no;roadside_riverside;2022;solidago;S 6.3;10.06.2022 00:00;Alvaneu;9.6336467;46.673763;2767844.287;1171375.994;1069.260498;S 6.3_R1
C1;control;5;5;17;5;5;1;0;7;NA;NA;no;roadside_riverside;2022;solidago;S 6.3;10.06.2022 00:00;Alvaneu;9.6336467;46.673763;2767844.287;1171375.994;1069.260498;S 6.3_C1
R1;removal;6;5;46;5;2;3;5;6;2;NA;no;roadside;2021;erigeron;E 1.1;07.06.2021 00:00;Chur;9.503204;46.845254;2757366.281;1190160.425;599.2714844;E 1.1_R1
C1;control;8;4;27;4;3;3;7;5;0;NA;no;roadside;2021;erigeron;E 1.1;07.06.2021 00:00;Chur;9.503204;46.845254;2757366.281;1190160.425;599.2714844;E 1.1_C1
R1;removal;7;4;26;4;3;7;4;5;NA;NA;no;roadside;2021;erigeron;E 2.1;07.06.2021 00:00;Bonaduz;9.3801951;46.812686;2748077.513;1186301.911;678.8043823;E 2.1_R1
C1;control;8;5;49;5;5;6;5;3;NA;NA;no;roadside;2021;erigeron;E 2.1;07.06.2021 00:00;Bonaduz;9.3801951;46.812686;2748077.513;1186301.911;678.8043823;E 2.1_C1
R2;removal;8;5;25;5;6;6;3;3;NA;NA;no;roadside;2021;erigeron;E 2.1;07.06.2021 00:00;Bonaduz;9.3801951;46.812686;2748077.513;1186301.911;678.8043823;E 2.1_R2
C2;control;8;4;33;4;5;6;5;3;NA;NA;no;roadside;2021;erigeron;E 2.1;07.06.2021 00:00;Bonaduz;9.3801951;46.812686;2748077.513;1186301.911;678.8043823;E 2.1_C2
R1;removal;6;4;11;4;5;5;0;6;NA;NA;no;roadside;2021;erigeron;E 2.2;08.06.2021 00:00;Bonaduz;9.3856731;46.812453;2748496.066;1186286.38;669.2020874;E 2.2_R1
C1;control;5;4;10;4;4;4;3;7;NA;NA;no;roadside;2021;erigeron;E 2.2;08.06.2021 00:00;Bonaduz;9.3856731;46.812453;2748496.066;1186286.38;669.2020874;E 2.2_C1
R2;removal;5;5;18;5;4;3;5;6;NA;NA;no;roadside;2021;erigeron;E 2.2;08.06.2021 00:00;Bonaduz;9.3856731;46.812453;2748496.066;1186286.38;669.2020874;E 2.2_R2
C2;control;8;4;10;4;5;7;3;4;NA;NA;no;roadside;2021;erigeron;E 2.2;08.06.2021 00:00;Bonaduz;9.3856731;46.812453;2748496.066;1186286.38;669.2020874;E 2.2_C2
R1;removal;8;3;63;3;4;8;3;3;0;0;no;roadside;2021;erigeron;E 1.2;08.06.2021 00:00;Domat-Ems;9.4192688;46.828206;2751014.834;1188101.023;612.8031006;E 1.2_R1
C1;control;8;3;67;3;3;8;3;3;0;0;no;roadside;2021;erigeron;E 1.2;08.06.2021 00:00;Domat-Ems;9.4192688;46.828206;2751014.834;1188101.023;612.8031006;E 1.2_C1
R2;removal;8;3;120;3;3;8;3;4;2;0;no;roadside;2021;erigeron;E 1.2;08.06.2021 00:00;Domat-Ems;9.4192688;46.828206;2751014.834;1188101.023;612.8031006;E 1.2_R2
C2;control;6;4;292;4;4;5;3;6;2;0;no;roadside;2021;erigeron;E 1.2;08.06.2021 00:00;Domat-Ems;9.4192688;46.828206;2751014.834;1188101.023;612.8031006;E 1.2_C2
R3;removal;8;3;81;3;3;7;3;4;2;0;no;roadside;2021;erigeron;E 1.2;08.06.2021 00:00;Domat-Ems;9.4192688;46.828206;2751014.834;1188101.023;612.8031006;E 1.2_R3
C3;control;8;3;119;3;5;7;3;4;0;0;no;roadside;2021;erigeron;E 1.2;08.06.2021 00:00;Domat-Ems;9.4192688;46.828206;2751014.834;1188101.023;612.8031006;E 1.2_C3
R4;removal;8;2;6;2;5;7;4;2;0;0;no;roadside;2021;erigeron;E 1.2;08.06.2021 00:00;Domat-Ems;9.4192688;46.828206;2751014.834;1188101.023;612.8031006;E 1.2_R4
C4;control;8;2;9;2;4;7;4;3;0;2;no;roadside;2021;erigeron;E 1.2;08.06.2021 00:00;Domat-Ems;9.4192688;46.828206;2751014.834;1188101.023;612.8031006;E 1.2_C4
R1;removal;8;4;27;4;5;7;0;4;NA;NA;no;roadside;2021;erigeron;E 2.3;08.06.2021 00:00;Tamins;9.4101563;46.830034;2750314.753;1188286.64;636.0404053;E 2.3_R1
C1;control;8;3;23;3;5;8;0;4;NA;NA;no;roadside;2021;erigeron;E 2.3;08.06.2021 00:00;Tamins;9.4101563;46.830034;2750314.753;1188286.64;636.0404053;E 2.3_C1
R2;removal;8;3;10;3;4;8;0;3;NA;NA;no;roadside;2021;erigeron;E 2.3;08.06.2021 00:00;Tamins;9.4101563;46.830034;2750314.753;1188286.64;636.0404053;E 2.3_R2
C2;control;8;4;40;4;4;8;0;5;NA;NA;no;roadside;2021;erigeron;E 2.3;08.06.2021 00:00;Tamins;9.4101563;46.830034;2750314.753;1188286.64;636.0404053;E 2.3_C2
R3;removal;8;4;11;4;5;8;0;2;NA;NA;no;roadside;2021;erigeron;E 2.3;08.06.2021 00:00;Tamins;9.4101563;46.830034;2750314.753;1188286.64;636.0404053;E 2.3_R3
C3;control;8;3;21;3;5;8;0;3;NA;NA;no;roadside;2021;erigeron;E 2.3;08.06.2021 00:00;Tamins;9.4101563;46.830034;2750314.753;1188286.64;636.0404053;E 2.3_C3
R4;removal;8;3;15;3;4;8;0;2;NA;NA;no;roadside;2021;erigeron;E 2.3;08.06.2021 00:00;Tamins;9.4101563;46.830034;2750314.753;1188286.64;636.0404053;E 2.3_R4
C4;control;8;3;8;3;6;7;0;3;NA;NA;no;roadside;2021;erigeron;E 2.3;08.06.2021 00:00;Tamins;9.4101563;46.830034;2750314.753;1188286.64;636.0404053;E 2.3_C4
R1;removal;8;2;5;2;5;5;8;2;0;NA;no;parking;2021;erigeron;E 1.3;09.06.2021 00:00;Trimmis;9.5581385;46.908825;2761363.536;1197335.865;551.5339966;E 1.3_R1
C1;control;8;2;5;2;4;5;8;0;0;NA;no;parking;2021;erigeron;E 1.3;09.06.2021 00:00;Trimmis;9.5581385;46.908825;2761363.536;1197335.865;551.5339966;E 1.3_C1
R2;removal;8;3;6;3;4;7;6;4;0;NA;no;parking;2021;erigeron;E 1.3;09.06.2021 00:00;Trimmis;9.5581385;46.908825;2761363.536;1197335.865;551.5339966;E 1.3_R2
C2;control;8;2;4;2;4;7;6;3;1;NA;no;parking;2021;erigeron;E 1.3;09.06.2021 00:00;Trimmis;9.5581385;46.908825;2761363.536;1197335.865;551.5339966;E 1.3_C2
R3;removal;8;2;3;2;4;7;6;2;0;NA;no;parking;2021;erigeron;E 1.3;09.06.2021 00:00;Trimmis;9.5581385;46.908825;2761363.536;1197335.865;551.5339966;E 1.3_R3
C3;control;8;2;3;2;3;8;6;0;0;NA;no;parking;2021;erigeron;E 1.3;09.06.2021 00:00;Trimmis;9.5581385;46.908825;2761363.536;1197335.865;551.5339966;E 1.3_C3
R1;removal;8;4;34;4;7;6;4;3;NA;NA;no;roadside;2021;erigeron;E 4.1;09.06.2021 00:00;Trin;9.3660772;46.828796;2746956.478;1188065.515;898.0748901;E 4.1_R1
C1;control;8;3;17;3;5;8;0;3;NA;NA;no;roadside;2021;erigeron;E 4.1;09.06.2021 00:00;Trin;9.3660772;46.828796;2746956.478;1188065.515;898.0748901;E 4.1_C1
R2;removal;8;3;13;3;7;6;0;3;NA;NA;no;roadside;2021;erigeron;E 4.1;09.06.2021 00:00;Trin;9.3660772;46.828796;2746956.478;1188065.515;898.0748901;E 4.1_R2
C2;control;8;3;22;3;8;4;0;3;NA;NA;no;roadside;2021;erigeron;E 4.1;09.06.2021 00:00;Trin;9.3660772;46.828796;2746956.478;1188065.515;898.0748901;E 4.1_C2
R3;removal;8;4;37;4;7;5;0;4;NA;NA;no;roadside;2021;erigeron;E 4.1;09.06.2021 00:00;Trin;9.3660772;46.828796;2746956.478;1188065.515;898.0748901;E 4.1_R3
C3;control;8;4;25;4;8;2;2;2;NA;NA;no;roadside;2021;erigeron;E 4.1;09.06.2021 00:00;Trin;9.3660772;46.828796;2746956.478;1188065.515;898.0748901;E 4.1_C3
R1;removal;8;4;30;4;7;5;4;3;0;NA;no;roadside;2021;erigeron;E 1.4;10.06.2021 00:00;Untervaz;9.5529588;46.914263;2760952.821;1197929.469;538.8092041;E 1.4_R1
C1;control;8;4;16;3;7;6;5;3;3;NA;no;roadside;2021;erigeron;E 1.4;10.06.2021 00:00;Untervaz;9.5529588;46.914263;2760952.821;1197929.469;538.8092041;E 1.4_C1
R2;removal;8;3;12;3;6;7;5;3;2;NA;no;roadside;2021;erigeron;E 1.4;10.06.2021 00:00;Untervaz;9.5529588;46.914263;2760952.821;1197929.469;538.8092041;E 1.4_R2
C2;control;8;4;21;3;5;6;7;3;3;NA;no;roadside;2021;erigeron;E 1.4;10.06.2021 00:00;Untervaz;9.5529588;46.914263;2760952.821;1197929.469;538.8092041;E 1.4_C2
R3;removal;8;4;29;4;7;4;5;4;3;NA;no;roadside;2021;erigeron;E 1.4;10.06.2021 00:00;Untervaz;9.5529588;46.914263;2760952.821;1197929.469;538.8092041;E 1.4_R3
C3;control;7;6;10;3;7;5;5;3;5;NA;no;roadside;2021;erigeron;E 1.4;10.06.2021 00:00;Untervaz;9.5529588;46.914263;2760952.821;1197929.469;538.8092041;E 1.4_C3
R4;removal;7;5;7;5;5;6;6;3;0;NA;no;roadside;2021;erigeron;E 1.4;10.06.2021 00:00;Untervaz;9.5529588;46.914263;2760952.821;1197929.469;538.8092041;E 1.4_R4
C4;control;8;2;6;2;5;7;6;3;0;NA;no;roadside;2021;erigeron;E 1.4;10.06.2021 00:00;Untervaz;9.5529588;46.914263;2760952.821;1197929.469;538.8092041;E 1.4_C4
R5;removal;8;3;19;2;4;7;6;3;3;NA;no;roadside;2021;erigeron;E 1.4;10.06.2021 00:00;Untervaz;9.5529588;46.914263;2760952.821;1197929.469;538.8092041;E 1.4_R5
C5;control;8;5;18;3;5;5;6;3;4;NA;no;roadside;2021;erigeron;E 1.4;10.06.2021 00:00;Untervaz;9.5529588;46.914263;2760952.821;1197929.469;538.8092041;E 1.4_C5
R1;removal;8;2;8;2;5;8;4;2;NA;NA;no;parking;2021;erigeron;E 4.2;10.06.2021 00:00;Trin Mulin;9.3351517;46.829684;2744595.502;1188106.696;790.0800781;E 4.2_R1
C1;control;8;4;13;4;5;7;6;2;NA;NA;no;parking;2021;erigeron;E 4.2;10.06.2021 00:00;Trin Mulin;9.3351517;46.829684;2744595.502;1188106.696;790.0800781;E 4.2_C1
R2;removal;8;3;11;3;6;7;4;3;NA;NA;no;parking;2021;erigeron;E 4.2;10.06.2021 00:00;Trin Mulin;9.3351517;46.829684;2744595.502;1188106.696;790.0800781;E 4.2_R2
C2;control;8;3;25;2;7;5;6;3;NA;NA;no;parking;2021;erigeron;E 4.2;10.06.2021 00:00;Trin Mulin;9.3351517;46.829684;2744595.502;1188106.696;790.0800781;E 4.2_C2
R1;removal;8;2;8;2;6;6;5;4;NA;NA;no;roadside;2021;erigeron;E 6.1;10.06.2021 00:00;Laax;9.2642066;46.813257;2739227.237;1186152.862;1028.390625;E 6.1_R1
